(.venv) (base) jatinkulkarni@Jatins-MacBook-Pro mod4-jatinkulkarni % python project/run_mnist_multiclass.py
Epoch 2 loss 1.270980425509657 valid acc 12/16
Epoch 2 loss 1.817988063856014 valid acc 15/16
Epoch 2 loss 1.931913194840193 valid acc 16/16
Epoch 2 loss 1.3472152518651952 valid acc 14/16
Epoch 2 loss 1.369275368053714 valid acc 14/16
Epoch 2 loss 1.876567698350623 valid acc 16/16
Epoch 2 loss 1.2081010071953862 valid acc 14/16
Epoch 2 loss 1.409700255317428 valid acc 14/16
Epoch 2 loss 2.7515290541421353 valid acc 13/16
Epoch 2 loss 1.2985239782344473 valid acc 13/16
Epoch 2 loss 1.660097579305341 valid acc 15/16
Epoch 2 loss 2.0614606142630056 valid acc 13/16
Epoch 2 loss 1.1541035360637397 valid acc 15/16
Epoch 2 loss 1.164284392828817 valid acc 15/16
Epoch 2 loss 1.577492870239643 valid acc 14/16
Epoch 2 loss 1.3231941249051205 valid acc 16/16
Epoch 2 loss 1.253503885564224 valid acc 16/16
Epoch 2 loss 0.6967822620318534 valid acc 15/16
Epoch 2 loss 1.7604220292133583 valid acc 13/16
Epoch 2 loss 1.0452250383658663 valid acc 14/16
Epoch 2 loss 1.2626860523491727 valid acc 15/16
Epoch 2 loss 1.9321003304216338 valid acc 14/16
Epoch 2 loss 1.6222233808244415 valid acc 12/16
Epoch 2 loss 1.9308683674201572 valid acc 14/16
Epoch 2 loss 1.9465575377394964 valid acc 14/16
Epoch 2 loss 1.2145497669375158 valid acc 16/16
Epoch 2 loss 2.2264997987713064 valid acc 16/16
Epoch 3 loss 0.1715456767216535 valid acc 13/16
Epoch 3 loss 1.4178192469640036 valid acc 14/16
Epoch 3 loss 1.8106488734374242 valid acc 16/16
Epoch 3 loss 1.1146012687112987 valid acc 15/16
Epoch 3 loss 1.303833756559951 valid acc 14/16
Epoch 3 loss 1.2751950848864855 valid acc 15/16
Epoch 3 loss 1.4232436595526565 valid acc 16/16
Epoch 3 loss 1.6512669368406847 valid acc 16/16
Epoch 3 loss 1.4188245562884931 valid acc 14/16
Epoch 3 loss 1.0157569256198349 valid acc 15/16
Epoch 3 loss 1.0624434501540272 valid acc 16/16
Epoch 3 loss 2.28633002180454 valid acc 14/16
Epoch 3 loss 1.705304521624247 valid acc 15/16
Epoch 3 loss 2.3448021299219466 valid acc 14/16
Epoch 3 loss 2.0824374187640844 valid acc 13/16
Epoch 3 loss 1.586596504411658 valid acc 14/16
Epoch 3 loss 2.135648984935531 valid acc 14/16
Epoch 3 loss 2.131471832133942 valid acc 14/16
Epoch 3 loss 1.2785528482416058 valid acc 15/16
Epoch 3 loss 0.9680484227683586 valid acc 15/16
Epoch 3 loss 1.0825400711474051 valid acc 14/16
Epoch 3 loss 0.6204240143416542 valid acc 14/16
Epoch 3 loss 0.2074671306751813 valid acc 15/16
Epoch 3 loss 1.511115126883733 valid acc 16/16
Epoch 3 loss 0.6854284228952262 valid acc 16/16
Epoch 3 loss 1.345469970155982 valid acc 15/16
Epoch 3 loss 0.5502045664997234 valid acc 16/16
Epoch 3 loss 1.1969908182891669 valid acc 15/16
Epoch 3 loss 1.060899215498398 valid acc 16/16
Epoch 3 loss 0.6679404704411971 valid acc 15/16
Epoch 3 loss 1.9790695465334844 valid acc 13/16
